File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\obj\x64\Debug\ActivityDialog.g.cs	97	_TimeTracker.ActivityDialog.InitializeComponent$$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\ActivityDialog.xaml.cs	143	_TimeTracker.ActivityDialog.Window_Activated$object.System.EventArgs$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\ActivityDialog.xaml.cs	152	_TimeTracker.ActivityDialog.Window_Deactivated$object.System.EventArgs$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\ActivityDialog.xaml.cs	157	_TimeTracker.ActivityDialog.Button_Click$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\ActivityDialog.xaml.cs	162	_TimeTracker.ActivityDialog.CloseButton_Click$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\ActivityDialog.xaml.cs	167	_TimeTracker.ActivityDialog.ConfirmButton_Click$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\obj\x64\Debug\App.g.cs	46	_TimeTracker.App.InitializeComponent$$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\obj\x64\Debug\App.g.cs	60	_TimeTracker.App.Main$$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\App.xaml.cs	93	_TimeTracker.App.OnExit$System.Windows.ExitEventArgs$	0	7
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\App.xaml.cs	103	_TimeTracker.App.ShowTutorialIfNeeded$$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\App.xaml.cs	156	_TimeTracker.App.DoNotDisturb$$	0	6
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\App.xaml.cs	190	_TimeTracker.App.ExitApplication$$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\App.xaml.cs	207	_TimeTracker.App.Application_Exit$object.System.Windows.ExitEventArgs$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\App.xaml.cs	222	_TimeTracker.App.CloseAllToasts$$	23	851
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\App.xaml.cs	262	_TimeTracker.App.CreateAwayFromPCDialog$object.TimeTracker.CustomEventArgs$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Logic\AppStateTracker.cs	214	_TimeTracker.AppStateTracker.CreateCurrentWindow$string.string$	0	2
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Logic\ASDL.cs	47	_TimeTracker.ASDL.ReattachHotkeyListener$TimeTracker.HotkeyListener$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Logic\ASDL.cs	151	_TimeTracker.ASDL.ChangeActivity$bool$	0	3
